"date","value","topic","variable","location","unit","origin","update","public","description"
2020-01-19,32333,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-20,43520,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-21,46431,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-22,44187,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-23,42719,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-24,49421,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-25,44835,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-26,34818,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-27,44349,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-28,36488,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-29,39944,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-30,47368,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-01-31,52815,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-01,46580,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-02,26270,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-03,33101,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-04,34422,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-05,45115,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-06,49629,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-07,51022,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-08,49913,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-09,38893,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-10,29552,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-11,32333,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-12,40966,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-14,43268,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-15,48028,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-16,35316,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-17,34443,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-18,43595,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-19,37466,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-20,49488,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
2020-02-21,49363,"mobilität","fuss_tot_261","Stadt Zürich","Anzahl Fussgänger","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Passanten (beide Richtungen) an allen aktiven Fussverkehrzählstellen der Stadt Zürich"
